date,date1,price
101/04/13,101/04/13,53.95
101/04/16,101/04/16,53.8
101/04/17,101/04/17,52.9
101/04/18,101/04/18,53
101/04/19,101/04/19,53.05
101/04/20,101/04/20,52.35
101/04/23,101/04/23,52.3
101/04/24,101/04/24,52.4
101/04/25,101/04/25,52.7
101/04/26,101/04/26,52.3
101/04/27,101/04/27,52.2
101/04/30,101/04/30,52.05
101/05/02,101/05/02,53.35
101/05/03,101/05/03,53.1
101/05/04,101/05/04,53.2
101/05/07,101/05/07,52.05
101/05/08,101/05/08,52.05
101/05/09,101/05/09,51.7
101/05/10,101/05/10,51.7
101/05/11,101/05/11,51.15
101/05/14,101/05/14,51.2
101/05/15,101/05/15,51.2
101/05/16,101/05/16,50.2
101/05/17,101/05/17,50.8
101/05/18,101/05/18,49.67
101/05/21,101/05/21,49.95
101/05/22,101/05/22,50.4
101/05/23,101/05/23,49.49
101/05/24,101/05/24,49.38
101/05/25,101/05/25,49.01
101/05/28,101/05/28,49.47
101/05/29,101/05/29,50.7
101/05/30,101/05/30,50.1
101/05/31,101/05/31,50.15
101/06/01,101/06/01,49.15
101/06/04,101/06/04,47.68
101/06/05,101/06/05,48.3
101/06/06,101/06/06,48.63
101/06/07,101/06/07,48.74
101/06/08,101/06/08,48
101/06/11,101/06/11,48.99
101/06/12,101/06/12,48.61
101/06/13,101/06/13,48.71
101/06/14,101/06/14,48.78
101/06/15,101/06/15,49.4
101/06/18,101/06/18,50.2
101/06/19,101/06/19,49.91
101/06/20,101/06/20,50.45
101/06/21,101/06/21,50.15
101/06/22,101/06/22,49.56
101/06/25,101/06/25,49.2
101/06/26,101/06/26,48.99
101/06/27,101/06/27,49.45
101/06/28,101/06/28,49.53
101/06/29,101/06/29,50.2
101/07/02,101/07/02,50.6
101/07/03,101/07/03,51.2
101/07/04,101/07/04,51.4
101/07/05,101/07/05,51.3
101/07/06,101/07/06,51
101/07/09,101/07/09,50.95
101/07/10,101/07/10,50.4
101/07/11,101/07/11,50.55
101/07/12,101/07/12,49.65
101/07/13,101/07/13,49.5
101/07/16,101/07/16,49.5
101/07/17,101/07/17,49.85
101/07/18,101/07/18,49.2
101/07/19,101/07/19,50.2
101/07/20,101/07/20,50.15
101/07/23,101/07/23,49.25
101/07/24,101/07/24,49.12
101/07/25,101/07/25,48.86
101/07/26,101/07/26,48.94
101/07/27,101/07/27,49.92
101/07/30,101/07/30,50.25
101/07/31,101/07/31,51.1
101/08/01,101/08/01,51.2
101/08/03,101/08/03,50.9
101/08/06,101/08/06,51.55
101/08/07,101/08/07,51.6
101/08/08,101/08/08,51.75
101/08/09,101/08/09,52.85
101/08/10,101/08/10,52.8
101/08/13,101/08/13,53
101/08/14,101/08/14,53.25
101/08/15,101/08/15,53.05
101/08/16,101/08/16,53.2
101/08/17,101/08/17,52.95
101/08/20,101/08/20,52.8
101/08/21,101/08/21,53.4
101/08/22,101/08/22,53.35
101/08/23,101/08/23,53.3
101/08/24,101/08/24,53.1
101/08/27,101/08/27,53.2
101/08/28,101/08/28,52.5
101/08/29,101/08/29,52.7
101/08/30,101/08/30,52.55
101/08/31,101/08/31,52.75
101/09/03,101/09/03,53.15
101/09/04,101/09/04,53.05
101/09/05,101/09/05,52.35
101/09/06,101/09/06,52.15
101/09/07,101/09/07,52.95
101/09/10,101/09/10,53.35
101/09/11,101/09/11,53.3
101/09/12,101/09/12,54.05
101/09/13,101/09/13,54.15
101/09/14,101/09/14,55.5
101/09/17,101/09/17,55.6
101/09/18,101/09/18,55.4
101/09/19,101/09/19,55.65
101/09/20,101/09/20,55.25
101/09/21,101/09/21,55.45
101/09/24,101/09/24,55.5
101/09/25,101/09/25,55.3
101/09/26,101/09/26,54.9
101/09/27,101/09/27,55.1
101/09/28,101/09/28,55.15
101/10/01,101/10/01,55
101/10/02,101/10/02,55.25
101/10/03,101/10/03,55
101/10/04,101/10/04,55.05
101/10/05,101/10/05,55.1
101/10/08,101/10/08,54.65
101/10/09,101/10/09,54.4
101/10/11,101/10/11,53.3
101/10/12,101/10/12,53.15
101/10/15,101/10/15,53.25
101/10/16,101/10/16,53.5
101/10/17,101/10/17,53.4
101/10/18,101/10/18,53.65
101/10/19,101/10/19,53.25
101/10/22,101/10/22,52.9
101/10/23,101/10/23,52.9
101/10/24,101/10/24,51
101/10/25,101/10/25,50.5
101/10/26,101/10/26,49.91
101/10/29,101/10/29,50
101/10/30,101/10/30,50.45
101/10/31,101/10/31,50.4
101/11/01,101/11/01,50.35
101/11/02,101/11/02,50.7
101/11/05,101/11/05,50.5
101/11/06,101/11/06,50.9
101/11/07,101/11/07,51.15
101/11/08,101/11/08,50.75
101/11/09,101/11/09,51.1
101/11/12,101/11/12,50.9
101/11/13,101/11/13,50.05
101/11/14,101/11/14,50.15
101/11/15,101/11/15,50
101/11/16,101/11/16,49.94
101/11/19,101/11/19,50.25
101/11/20,101/11/20,50.35
101/11/21,101/11/21,49.97
101/11/22,101/11/22,50.2
101/11/23,101/11/23,51.7
101/11/26,101/11/26,52.2
101/11/27,101/11/27,52.4
101/11/28,101/11/28,52.45
101/11/29,101/11/29,53.1
101/11/30,101/11/30,53.55
101/12/03,101/12/03,53.5
101/12/04,101/12/04,53.45
101/12/05,101/12/05,53.75
101/12/06,101/12/06,53.6
101/12/07,101/12/07,53.9
101/12/10,101/12/10,53.7
101/12/11,101/12/11,53.65
101/12/12,101/12/12,54.1
101/12/13,101/12/13,54.7
101/12/14,101/12/14,54.2
101/12/17,101/12/17,53.5
101/12/18,101/12/18,53.55
101/12/19,101/12/19,53.7
101/12/20,101/12/20,53.05
101/12/21,101/12/21,52.8
101/12/22,101/12/22,52.95
101/12/24,101/12/24,52.7
101/12/25,101/12/25,53.6
101/12/26,101/12/26,53.5
101/12/27,101/12/27,53.45
101/12/28,101/12/28,53.8
102/01/02,102/01/02,54.4
102/01/03,102/01/03,54.85
102/01/04,102/01/04,54.5
102/01/07,102/01/07,54.25
102/01/08,102/01/08,53.9
102/01/09,102/01/09,54.1
102/01/10,102/01/10,54.5
102/01/11,102/01/11,54.45
102/01/14,102/01/14,54.5
102/01/15,102/01/15,54
102/01/16,102/01/16,53.7
102/01/17,102/01/17,53.3
102/01/18,102/01/18,53.95
102/01/21,102/01/21,53.9
102/01/22,102/01/22,54.05
102/01/23,102/01/23,54
102/01/24,102/01/24,53.7
102/01/25,102/01/25,53.5
102/01/28,102/01/28,53.75
102/01/29,102/01/29,54.5
102/01/30,102/01/30,54.6
102/01/31,102/01/31,54.6
102/02/01,102/02/01,54.8
102/02/04,102/02/04,55.2
102/02/05,102/02/05,55
102/02/06,102/02/06,55.4
102/02/18,102/02/18,55.6
102/02/19,102/02/19,55.65
102/02/20,102/02/20,56.1
102/02/21,102/02/21,55.7
102/02/22,102/02/22,55.5
102/02/23,102/02/23,55.8
102/02/25,102/02/25,55.7
102/02/26,102/02/26,55.1
102/02/27,102/02/27,55.2
102/03/01,102/03/01,55.4
102/03/04,102/03/04,54.75
102/03/05,102/03/05,55.2
102/03/06,102/03/06,55.45
102/03/07,102/03/07,55.4
102/03/08,102/03/08,55.8
102/03/11,102/03/11,55.9
102/03/12,102/03/12,55.55
102/03/13,102/03/13,55.65
102/03/14,102/03/14,55.6
102/03/15,102/03/15,55.2
102/03/18,102/03/18,54.5
102/03/19,102/03/19,54.6
102/03/20,102/03/20,54.25
102/03/21,102/03/21,54.3
102/03/22,102/03/22,54.15
102/03/25,102/03/25,54.55
102/03/26,102/03/26,54.55
102/03/27,102/03/27,54.7
102/03/28,102/03/28,54.55
102/03/29,102/03/29,55.1
102/04/01,102/04/01,55
102/04/02,102/04/02,54.85
102/04/03,102/04/03,55
102/04/08,102/04/08,53.85
102/04/09,102/04/09,53.7
102/04/10,102/04/10,53.8
102/04/11,102/04/11,54.35
102/04/12,102/04/12,54.35
102/04/15,102/04/15,53.9
102/04/16,102/04/16,54
102/04/17,102/04/17,53.9
102/04/18,102/04/18,53.85
102/04/19,102/04/19,55.45
102/04/22,102/04/22,55.4
102/04/23,102/04/23,55.1
102/04/24,102/04/24,55.55
102/04/25,102/04/25,55.65
102/04/26,102/04/26,55.85
102/04/29,102/04/29,55.8
102/04/30,102/04/30,56.4
102/05/02,102/05/02,56.55
102/05/03,102/05/03,56.65
102/05/06,102/05/06,56.9
102/05/07,102/05/07,57.1
102/05/08,102/05/08,57.85
102/05/09,102/05/09,58.2
102/05/10,102/05/10,57.9
102/05/13,102/05/13,57.75
102/05/14,102/05/14,57.9
102/05/15,102/05/15,57.95
102/05/16,102/05/16,58.7
102/05/17,102/05/17,58.4
102/05/20,102/05/20,58.3
102/05/21,102/05/21,58.3
102/05/22,102/05/22,58.25
102/05/23,102/05/23,57
102/05/24,102/05/24,56.85
102/05/27,102/05/27,57.35
102/05/28,102/05/28,57.15
102/05/29,102/05/29,57.65
102/05/30,102/05/30,56.95
102/05/31,102/05/31,56.95
102/06/03,102/06/03,56.7
102/06/04,102/06/04,56.6
102/06/05,102/06/05,56.6
102/06/06,102/06/06,55.9
102/06/07,102/06/07,56.05
102/06/10,102/06/10,56.5
102/06/11,102/06/11,56.35
102/06/13,102/06/13,55
102/06/14,102/06/14,54.8
102/06/17,102/06/17,55.15
102/06/18,102/06/18,55.4
102/06/19,102/06/19,55.3
102/06/20,102/06/20,54.25
102/06/21,102/06/21,53.6
102/06/24,102/06/24,53.4
102/06/25,102/06/25,53
102/06/26,102/06/26,53.7
102/06/27,102/06/27,54.35
102/06/28,102/06/28,55.1
102/07/01,102/07/01,55.6
102/07/02,102/07/02,55.5
102/07/03,102/07/03,54.85
102/07/04,102/07/04,54.95
102/07/05,102/07/05,56.05
102/07/08,102/07/08,55
102/07/09,102/07/09,55.65
102/07/10,102/07/10,55.8
102/07/11,102/07/11,57.2
102/07/12,102/07/12,57.35
102/07/15,102/07/15,57.5
102/07/16,102/07/16,57.5
102/07/17,102/07/17,57.6
102/07/18,102/07/18,57.2
102/07/19,102/07/19,55.95
102/07/22,102/07/22,56.15
102/07/23,102/07/23,57.05
102/07/24,102/07/24,56.9
102/07/25,102/07/25,57
102/07/26,102/07/26,56.9
102/07/29,102/07/29,56.5
102/07/30,102/07/30,56.95
102/07/31,102/07/31,56.6
102/08/01,102/08/01,56.2
102/08/02,102/08/02,56.55
102/08/05,102/08/05,56.7
102/08/06,102/08/06,55.9
102/08/07,102/08/07,55.1
102/08/08,102/08/08,54.9
102/08/09,102/08/09,54.85
102/08/12,102/08/12,55
102/08/13,102/08/13,55.55
102/08/14,102/08/14,55.4
102/08/15,102/08/15,55
102/08/16,102/08/16,55.25
102/08/19,102/08/19,55.1
102/08/20,102/08/20,54.6
102/08/22,102/08/22,54.15
102/08/23,102/08/23,54.85
102/08/26,102/08/26,55.1
102/08/27,102/08/27,54.6
102/08/28,102/08/28,54.75
102/08/29,102/08/29,55.5
102/08/30,102/08/30,55.85
102/09/02,102/09/02,56.3
102/09/03,102/09/03,56.65
102/09/04,102/09/04,56.55
102/09/05,102/09/05,56.9
102/09/06,102/09/06,57
102/09/09,102/09/09,57.2
102/09/10,102/09/10,57.35
102/09/11,102/09/11,57.5
102/09/12,102/09/12,57.55
102/09/13,102/09/13,57.1
102/09/14,102/09/14,57.1
102/09/16,102/09/16,57.8
102/09/17,102/09/17,57.75
102/09/18,102/09/18,57.55
102/09/23,102/09/23,58
102/09/24,102/09/24,58.05
102/09/25,102/09/25,57.8
102/09/26,102/09/26,57.25
102/09/27,102/09/27,57.4
102/09/30,102/09/30,57.15
102/10/01,102/10/01,57.15
102/10/02,102/10/02,57.35
102/10/03,102/10/03,58.55
102/10/04,102/10/04,58.45
102/10/07,102/10/07,57.9
102/10/08,102/10/08,58.35
102/10/09,102/10/09,58.2
102/10/11,102/10/11,58.45
102/10/14,102/10/14,58
102/10/15,102/10/15,58.5
102/10/16,102/10/16,58.25
102/10/17,102/10/17,58.55
102/10/18,102/10/18,59.05
102/10/21,102/10/21,59
102/10/22,102/10/22,59
102/10/23,102/10/23,58.7
102/10/24,102/10/24,57.55
102/10/25,102/10/25,57.1
102/10/28,102/10/28,57.5
102/10/29,102/10/29,57.75
102/10/30,102/10/30,57.9
102/10/31,102/10/31,57.9
102/11/01,102/11/01,57.6
102/11/04,102/11/04,57.35
102/11/05,102/11/05,56.8
102/11/06,102/11/06,56.8
102/11/07,102/11/07,56.65
102/11/08,102/11/08,56.45
102/11/11,102/11/11,56.3
102/11/12,102/11/12,56.5
102/11/13,102/11/13,55.75
102/11/14,102/11/14,55.9
102/11/15,102/11/15,56.15
102/11/18,102/11/18,56.45
102/11/19,102/11/19,56.8
102/11/20,102/11/20,56.45
102/11/21,102/11/21,55.45
102/11/22,102/11/22,55.5
102/11/25,102/11/25,56.25
102/11/26,102/11/26,56.7
102/11/27,102/11/27,57
102/11/28,102/11/28,57.35
102/11/29,102/11/29,57.55
102/12/02,102/12/02,57.45
102/12/03,102/12/03,57.5
102/12/04,102/12/04,57.45
102/12/05,102/12/05,57.1
102/12/06,102/12/06,57.15
102/12/09,102/12/09,57.65
102/12/10,102/12/10,57.8
102/12/11,102/12/11,57.85
102/12/12,102/12/12,57.4
102/12/13,102/12/13,57.35
102/12/16,102/12/16,56.9
102/12/17,102/12/17,57.2
102/12/18,102/12/18,57
102/12/19,102/12/19,57.35
102/12/20,102/12/20,57.45
102/12/23,102/12/23,57.85
102/12/24,102/12/24,57.8
102/12/25,102/12/25,57.85
102/12/26,102/12/26,57.85
102/12/27,102/12/27,58.3
102/12/30,102/12/30,58.8
102/12/31,102/12/31,58.7
103/01/02,103/01/02,58.55
103/01/03,103/01/03,57.85
103/01/06,103/01/06,57.7
103/01/07,103/01/07,57.7
103/01/08,103/01/08,57.8
103/01/09,103/01/09,57.55
103/01/10,103/01/10,57.55
103/01/13,103/01/13,57.9
103/01/14,103/01/14,57.8
103/01/15,103/01/15,58.4
103/01/16,103/01/16,58.55
103/01/17,103/01/17,58.65
103/01/20,103/01/20,58.8
103/01/21,103/01/21,58.55
103/01/22,103/01/22,58.65
103/01/23,103/01/23,58.5
103/01/24,103/01/24,58.65
103/01/27,103/01/27,57.6
103/02/05,103/02/05,55.8
103/02/06,103/02/06,56
103/02/07,103/02/07,56.6
103/02/10,103/02/10,56.6
103/02/11,103/02/11,56.95
103/02/12,103/02/12,57.55
103/02/13,103/02/13,57.4
103/02/14,103/02/14,57.95
103/02/17,103/02/17,57.95
103/02/18,103/02/18,58.15
103/02/19,103/02/19,58.15
103/02/20,103/02/20,57.65
103/02/21,103/02/21,58.2
103/02/24,103/02/24,57.9
103/02/25,103/02/25,58.15
103/02/26,103/02/26,58.4
103/02/27,103/02/27,58.3
103/03/03,103/03/03,57.95
103/03/04,103/03/04,57.7
103/03/05,103/03/05,58.3
103/03/06,103/03/06,59.15
103/03/07,103/03/07,59.4
103/03/10,103/03/10,59.05
103/03/11,103/03/11,59.35
103/03/12,103/03/12,58.8
103/03/13,103/03/13,59.75
103/03/14,103/03/14,59.15
103/03/17,103/03/17,59.05
103/03/18,103/03/18,59.4
103/03/19,103/03/19,59.25
103/03/20,103/03/20,58.5
103/03/21,103/03/21,58.5
103/03/24,103/03/24,58.65
103/03/25,103/03/25,59.15
103/03/26,103/03/26,59.7
103/03/27,103/03/27,59.8
103/03/28,103/03/28,59.9
103/03/31,103/03/31,60.1
103/04/01,103/04/01,60.6
103/04/02,103/04/02,60.8
103/04/03,103/04/03,60.65
103/04/07,103/04/07,60.5
103/04/08,103/04/08,60.8
103/04/09,103/04/09,61
103/04/10,103/04/10,61.2
103/04/11,103/04/11,61.15
103/04/14,103/04/14,61.05
103/04/15,103/04/15,61.35
103/04/16,103/04/16,61.3
103/04/17,103/04/17,61.15
103/04/18,103/04/18,61.55
103/04/21,103/04/21,61.55
103/04/22,103/04/22,61.75
103/04/23,103/04/23,61.65
103/04/24,103/04/24,61.75
103/04/25,103/04/25,60.7
103/04/28,103/04/28,61.25
103/04/29,103/04/29,61.35
103/04/30,103/04/30,61
103/05/02,103/05/02,61.3
103/05/05,103/05/05,61.2
103/05/06,103/05/06,61.55
103/05/07,103/05/07,61.4
103/05/08,103/05/08,61.85
103/05/09,103/05/09,61.45
103/05/12,103/05/12,61.15
103/05/13,103/05/13,61.45
103/05/14,103/05/14,61.8
103/05/15,103/05/15,61.75
103/05/16,103/05/16,61.85
103/05/19,103/05/19,61.85
103/05/20,103/05/20,62.1
103/05/21,103/05/21,61.8
103/05/22,103/05/22,62.65
103/05/23,103/05/23,62.75
103/05/26,103/05/26,63.05
103/05/27,103/05/27,63.1
103/05/28,103/05/28,63.7
103/05/29,103/05/29,63.4
103/05/30,103/05/30,63.1
103/06/03,103/06/03,63.15
103/06/04,103/06/04,63.4
103/06/05,103/06/05,63.4
103/06/06,103/06/06,63.55
103/06/09,103/06/09,63.8
103/06/10,103/06/10,64.2
103/06/11,103/06/11,64.15
103/06/12,103/06/12,64
103/06/13,103/06/13,63.85
103/06/16,103/06/16,63.9
103/06/17,103/06/17,64.35
103/06/18,103/06/18,64.5
103/06/19,103/06/19,64.95
103/06/20,103/06/20,64.75
103/06/23,103/06/23,64.7
103/06/24,103/06/24,64.8
103/06/25,103/06/25,64.65
103/06/26,103/06/26,65.35
103/06/27,103/06/27,65.35
103/06/30,103/06/30,65.95
103/07/01,103/07/01,66.55
103/07/02,103/07/02,67.1
103/07/03,103/07/03,67.7
103/07/04,103/07/04,67.7
103/07/07,103/07/07,67.6
103/07/08,103/07/08,67.75
103/07/09,103/07/09,67.85
103/07/10,103/07/10,68.35
103/07/11,103/07/11,68.3
103/07/14,103/07/14,68.7
103/07/15,103/07/15,68.95
103/07/16,103/07/16,68.35
103/07/17,103/07/17,67.5
103/07/18,103/07/18,67.5
103/07/21,103/07/21,67.5
103/07/22,103/07/22,68.1
103/07/24,103/07/24,68.4
103/07/25,103/07/25,67.65
103/07/28,103/07/28,67.5
103/07/29,103/07/29,67.45
103/07/30,103/07/30,67.85
103/07/31,103/07/31,66.75
103/08/01,103/08/01,66.25
103/08/04,103/08/04,66.6
103/08/05,103/08/05,65.25
103/08/06,103/08/06,65.7
103/08/07,103/08/07,65.7
103/08/08,103/08/08,65.7
103/08/11,103/08/11,66.05
103/08/12,103/08/12,66.1
103/08/13,103/08/13,66.75
103/08/14,103/08/14,67.1
103/08/15,103/08/15,67.1
103/08/18,103/08/18,66.9
103/08/19,103/08/19,67.75
103/08/20,103/08/20,68
103/08/21,103/08/21,67.9
103/08/22,103/08/22,68.75
103/08/25,103/08/25,68.65
103/08/26,103/08/26,68.6
103/08/27,103/08/27,69.25
103/08/28,103/08/28,69.35
103/08/29,103/08/29,69.2
103/09/01,103/09/01,69.8
103/09/02,103/09/02,68.75
103/09/03,103/09/03,69.25
103/09/04,103/09/04,69
103/09/05,103/09/05,69
103/09/09,103/09/09,69.25
103/09/10,103/09/10,68.65
103/09/11,103/09/11,68.4
103/09/12,103/09/12,67.75
103/09/15,103/09/15,67.75
103/09/16,103/09/16,67.2
103/09/17,103/09/17,67.7
103/09/18,103/09/18,67.85
103/09/19,103/09/19,68
103/09/22,103/09/22,66.95
103/09/23,103/09/23,66.8
103/09/24,103/09/24,66.55
103/09/25,103/09/25,65.95
103/09/26,103/09/26,65.6
103/09/29,103/09/29,65.4
103/09/30,103/09/30,65.3
103/10/01,103/10/01,65.5
103/10/02,103/10/02,65.5
103/10/03,103/10/03,66.7
103/10/06,103/10/06,66.65
103/10/07,103/10/07,66.1
103/10/08,103/10/08,65.7
103/10/09,103/10/09,66
103/10/13,103/10/13,64
103/10/14,103/10/14,64.55
103/10/15,103/10/15,64.1
103/10/16,103/10/16,64
103/10/17,103/10/17,63.35
103/10/20,103/10/20,64.6
103/10/21,103/10/21,64.3
103/10/22,103/10/22,65.3
103/10/23,103/10/23,65.05
103/10/24,103/10/24,63.05
103/10/27,103/10/27,63.25
103/10/28,103/10/28,64.35
103/10/29,103/10/29,65
103/10/30,103/10/30,64.8
103/10/31,103/10/31,65.3
103/11/03,103/11/03,65.6
103/11/04,103/11/04,65.65
103/11/05,103/11/05,65.5
103/11/06,103/11/06,65.1
103/11/07,103/11/07,65.2
103/11/10,103/11/10,66.15
103/11/11,103/11/11,65.95
103/11/12,103/11/12,65
103/11/13,103/11/13,65.65
103/11/14,103/11/14,65.7
103/11/17,103/11/17,65.1
103/11/18,103/11/18,64.9
103/11/19,103/11/19,65.85
103/11/20,103/11/20,66.6
103/11/21,103/11/21,66.65
103/11/24,103/11/24,66.8
103/11/25,103/11/25,66.85
103/11/26,103/11/26,66.85
103/11/27,103/11/27,67.5
103/11/28,103/11/28,67.5
103/12/01,103/12/01,66.8
103/12/02,103/12/02,65.8
103/12/03,103/12/03,66.85
103/12/04,103/12/04,67.1
103/12/05,103/12/05,66.85
103/12/08,103/12/08,66.35
103/12/09,103/12/09,66.2
103/12/10,103/12/10,65.3
103/12/11,103/12/11,65.25
103/12/12,103/12/12,65.3
103/12/15,103/12/15,65.1
103/12/16,103/12/16,64.55
103/12/17,103/12/17,63.55
103/12/18,103/12/18,63.7
103/12/19,103/12/19,65.2
103/12/22,103/12/22,66
103/12/23,103/12/23,65.8
103/12/24,103/12/24,66.3
103/12/25,103/12/25,66.3
103/12/26,103/12/26,66.45
103/12/27,103/12/27,66.6
103/12/29,103/12/29,67.2
103/12/30,103/12/30,66.85
103/12/31,103/12/31,66.85
104/01/05,104/01/05,66.55
104/01/06,104/01/06,64.9
104/01/07,104/01/07,65
104/01/08,104/01/08,66.5
104/01/09,104/01/09,66.15
104/01/12,104/01/12,65.75
104/01/13,104/01/13,65.95
104/01/14,104/01/14,65.6
104/01/15,104/01/15,65.8
104/01/16,104/01/16,65.5
104/01/19,104/01/19,66.25
104/01/20,104/01/20,66.75
104/01/21,104/01/21,67.25
104/01/22,104/01/22,67.6
104/01/23,104/01/23,68.7
104/01/26,104/01/26,68.7
104/01/27,104/01/27,69.15
104/01/28,104/01/28,69.15
104/01/29,104/01/29,68.3
104/01/30,104/01/30,68
104/02/02,104/02/02,68.15
104/02/03,104/02/03,68.65
104/02/04,104/02/04,69.4
104/02/05,104/02/05,69.1
104/02/06,104/02/06,68.75
104/02/09,104/02/09,68.5
104/02/10,104/02/10,68.25
104/02/11,104/02/11,69
104/02/12,104/02/12,69
104/02/13,104/02/13,69.45
104/02/24,104/02/24,70.25
104/02/25,104/02/25,70.8
104/02/26,104/02/26,70.3
104/03/02,104/03/02,70
104/03/03,104/03/03,69.9
104/03/04,104/03/04,69.95
104/03/05,104/03/05,69.7
104/03/06,104/03/06,69.8
104/03/09,104/03/09,69.1
104/03/10,104/03/10,68.95
104/03/11,104/03/11,69.05
104/03/12,104/03/12,69.65
104/03/13,104/03/13,69.45
104/03/16,104/03/16,68.9
104/03/17,104/03/17,69.15
104/03/18,104/03/18,69.9
104/03/19,104/03/19,70.65
104/03/20,104/03/20,70.55
104/03/23,104/03/23,70.75
104/03/24,104/03/24,70.5
104/03/25,104/03/25,70.25
104/03/26,104/03/26,69.4
104/03/27,104/03/27,68.75
104/03/30,104/03/30,68.8
104/03/31,104/03/31,69.05
104/04/01,104/04/01,68.65
104/04/02,104/04/02,69.5
104/04/07,104/04/07,69.6
104/04/08,104/04/08,69
104/04/09,104/04/09,69.1
104/04/10,104/04/10,69.65
104/04/13,104/04/13,69.85
104/04/14,104/04/14,69.5
104/04/15,104/04/15,68.65
104/04/16,104/04/16,69.7
104/04/17,104/04/17,69.05
104/04/20,104/04/20,68.95
104/04/21,104/04/21,68.95
104/04/22,104/04/22,69.65
104/04/23,104/04/23,71.5
104/04/24,104/04/24,72.2
104/04/27,104/04/27,72.75
104/04/28,104/04/28,72.6
104/04/29,104/04/29,71.8
104/04/30,104/04/30,71.45
104/05/04,104/05/04,71.6
104/05/05,104/05/05,71.2
104/05/06,104/05/06,71.3
104/05/07,104/05/07,70.45
104/05/08,104/05/08,70.5
104/05/11,104/05/11,70.85
104/05/12,104/05/12,70.7
104/05/13,104/05/13,71.1
104/05/14,104/05/14,70.1
104/05/15,104/05/15,70
104/05/18,104/05/18,70.25
104/05/19,104/05/19,71.3
104/05/20,104/05/20,70.8
104/05/21,104/05/21,70.15
104/05/22,104/05/22,70.7
104/05/25,104/05/25,70.7
104/05/26,104/05/26,71
104/05/27,104/05/27,71.15
104/05/28,104/05/28,71.5
104/05/29,104/05/29,71.1
104/06/01,104/06/01,70.5
104/06/02,104/06/02,70.4
104/06/03,104/06/03,69.95
104/06/04,104/06/04,68.6
104/06/05,104/06/05,68.45
104/06/08,104/06/08,68.9
104/06/09,104/06/09,68.35
104/06/10,104/06/10,68.65
104/06/11,104/06/11,68.85
104/06/12,104/06/12,68.8
104/06/15,104/06/15,68.65
104/06/16,104/06/16,68.2
104/06/17,104/06/17,68.5
104/06/18,104/06/18,68.4
104/06/22,104/06/22,69.35
104/06/23,104/06/23,69.55
104/06/24,104/06/24,69.65
104/06/25,104/06/25,70.45
104/06/26,104/06/26,70.45
104/06/29,104/06/29,68.8
104/06/30,104/06/30,69.4
104/07/01,104/07/01,70.05
104/07/02,104/07/02,70.1
104/07/03,104/07/03,70.1
104/07/06,104/07/06,69.3
104/07/07,104/07/07,69.6
104/07/08,104/07/08,67.5
104/07/09,104/07/09,67.1
104/07/13,104/07/13,68.1
104/07/14,104/07/14,68.1
104/07/15,104/07/15,68.25
104/07/16,104/07/16,68.6
104/07/17,104/07/17,68.5
104/07/20,104/07/20,68
104/07/21,104/07/21,68.65
104/07/22,104/07/22,67.8
104/07/23,104/07/23,67.15
104/07/24,104/07/24,66.75
104/07/27,104/07/27,65.8
104/07/28,104/07/28,65.85
104/07/29,104/07/29,65.4
104/07/30,104/07/30,66.5
104/07/31,104/07/31,66.15
104/08/03,104/08/03,65.25
104/08/04,104/08/04,65.3
104/08/05,104/08/05,65.7
104/08/06,104/08/06,65
104/08/07,104/08/07,64.7
104/08/10,104/08/10,64.55
104/08/11,104/08/11,64.55
104/08/12,104/08/12,63.45
104/08/13,104/08/13,63.55
104/08/14,104/08/14,63.3
104/08/17,104/08/17,62.9
104/08/18,104/08/18,62.55
104/08/19,104/08/19,61.6
104/08/20,104/08/20,61.4
104/08/21,104/08/21,59.8
104/08/24,104/08/24,57.5
104/08/25,104/08/25,60
104/08/26,104/08/26,60.35
104/08/27,104/08/27,60.15
104/08/28,104/08/28,61.8
104/08/31,104/08/31,62.3
104/09/01,104/09/01,61.75
104/09/02,104/09/02,62.1
104/09/03,104/09/03,62.15
104/09/04,104/09/04,61.35
104/09/07,104/09/07,61.25
104/09/08,104/09/08,61.45
104/09/09,104/09/09,64.15
104/09/10,104/09/10,63.45
104/09/11,104/09/11,63.5
104/09/14,104/09/14,63.65
104/09/15,104/09/15,63.15
104/09/16,104/09/16,63.9
104/09/17,104/09/17,65
104/09/18,104/09/18,64.85
104/09/21,104/09/21,63.45
104/09/22,104/09/22,63.8
104/09/23,104/09/23,62.35
104/09/24,104/09/24,62
104/09/25,104/09/25,62.25
104/09/30,104/09/30,62.4
104/10/01,104/10/01,63.6
104/10/02,104/10/02,63.25
104/10/05,104/10/05,63.4
104/10/06,104/10/06,63.9
104/10/07,104/10/07,64.85
104/10/08,104/10/08,64.7
104/10/12,104/10/12,65.55
104/10/13,104/10/13,65.3
104/10/14,104/10/14,65.05
104/10/15,104/10/15,66
104/10/16,104/10/16,65.75
104/10/19,104/10/19,65.95
104/10/20,104/10/20,65.95
104/10/21,104/10/21,65.5
104/10/22,104/10/22,65.5
104/10/23,104/10/23,65.9
104/10/26,104/10/26,64.55
104/10/27,104/10/27,64.2
104/10/28,104/10/28,63.75
104/10/29,104/10/29,63.3
104/10/30,104/10/30,63.2
104/11/02,104/11/02,63.3
104/11/03,104/11/03,64.3
104/11/04,104/11/04,65.55
