date,date1,price
 98/09/21, 98/09/21,53.15
 98/09/22, 98/09/22,52.95
 98/09/23, 98/09/23,52.7
 98/09/24, 98/09/24,52
 98/09/25, 98/09/25,52.35
 98/09/28, 98/09/28,51.8
 98/09/29, 98/09/29,52.85
 98/09/30, 98/09/30,53.3
 98/10/01, 98/10/01,53.65
 98/10/02, 98/10/02,52.7
 98/10/05, 98/10/05,52.65
 98/10/06, 98/10/06,53.6
 98/10/07, 98/10/07,53.9
 98/10/08, 98/10/08,53.05
 98/10/09, 98/10/09,53.35
 98/10/12, 98/10/12,53.6
 98/10/13, 98/10/13,53.7
 98/10/14, 98/10/14,54.35
 98/10/15, 98/10/15,54.65
 98/10/16, 98/10/16,54.65
 98/10/19, 98/10/19,54.85
 98/10/20, 98/10/20,54.9
 98/10/21, 98/10/21,54.5
 98/10/22, 98/10/22,53.7
 98/10/23, 98/10/23,53.25
 98/10/26, 98/10/26,53.5
 98/10/27, 98/10/27,53.4
 98/10/28, 98/10/28,52.55
 98/10/29, 98/10/29,51.55
 98/10/30, 98/10/30,51.65
 98/11/02, 98/11/02,51.35
 98/11/03, 98/11/03,51
 98/11/04, 98/11/04,51.95
 98/11/05, 98/11/05,51.85
 98/11/06, 98/11/06,52.25
 98/11/09, 98/11/09,52.75
 98/11/10, 98/11/10,53.15
 98/11/11, 98/11/11,53.85
 98/11/12, 98/11/12,53.8
 98/11/13, 98/11/13,53.65
 98/11/16, 98/11/16,54.55
 98/11/17, 98/11/17,54.1
 98/11/18, 98/11/18,54.15
 98/11/19, 98/11/19,53.95
 98/11/20, 98/11/20,53.45
 98/11/23, 98/11/23,53.4
 98/11/24, 98/11/24,53.65
 98/11/25, 98/11/25,54
 98/11/26, 98/11/26,53.85
 98/11/27, 98/11/27,52.2
 98/11/30, 98/11/30,52.7
 98/12/01, 98/12/01,53.25
 98/12/02, 98/12/02,53.4
 98/12/03, 98/12/03,53.45
 98/12/04, 98/12/04,53.1
 98/12/07, 98/12/07,53.95
 98/12/08, 98/12/08,53.7
 98/12/09, 98/12/09,53.85
 98/12/10, 98/12/10,53
 98/12/11, 98/12/11,53.85
 98/12/14, 98/12/14,53.9
 98/12/15, 98/12/15,53.75
 98/12/16, 98/12/16,53.2
 98/12/17, 98/12/17,53.4
 98/12/18, 98/12/18,53.25
 98/12/21, 98/12/21,53.7
 98/12/22, 98/12/22,54.15
 98/12/23, 98/12/23,54.55
 98/12/24, 98/12/24,55.1
 98/12/25, 98/12/25,55.2
 98/12/28, 98/12/28,55.6
 98/12/29, 98/12/29,55.5
 98/12/30, 98/12/30,55.7
 98/12/31, 98/12/31,56.45
 99/01/04, 99/01/04,56.5
 99/01/05, 99/01/05,56.5
 99/01/06, 99/01/06,57.55
 99/01/07, 99/01/07,57.4
 99/01/08, 99/01/08,57.75
 99/01/11, 99/01/11,57.9
 99/01/12, 99/01/12,57.6
 99/01/13, 99/01/13,56.75
 99/01/14, 99/01/14,57.45
 99/01/15, 99/01/15,57.8
 99/01/18, 99/01/18,57.5
 99/01/19, 99/01/19,56.75
 99/01/20, 99/01/20,56.4
 99/01/21, 99/01/21,55.95
 99/01/22, 99/01/22,54.4
 99/01/25, 99/01/25,54.2
 99/01/26, 99/01/26,52.95
 99/01/27, 99/01/27,52.9
 99/01/28, 99/01/28,54.05
 99/01/29, 99/01/29,53
 99/02/01, 99/02/01,52.4
 99/02/02, 99/02/02,51.85
 99/02/03, 99/02/03,52.75
 99/02/04, 99/02/04,52.55
 99/02/05, 99/02/05,50.75
 99/02/06, 99/02/06,51.2
 99/02/08, 99/02/08,50.85
 99/02/09, 99/02/09,51.55
 99/02/10, 99/02/10,52.1
 99/02/22, 99/02/22,52.6
 99/02/23, 99/02/23,52.6
 99/02/24, 99/02/24,52.25
 99/02/25, 99/02/25,51.65
 99/02/26, 99/02/26,51.55
 99/03/01, 99/03/01,52.8
 99/03/02, 99/03/02,52.65
 99/03/03, 99/03/03,52.65
 99/03/04, 99/03/04,52.2
 99/03/05, 99/03/05,52.95
 99/03/08, 99/03/08,53.65
 99/03/09, 99/03/09,53.8
 99/03/10, 99/03/10,53.8
 99/03/11, 99/03/11,53.65
 99/03/12, 99/03/12,53.6
 99/03/15, 99/03/15,52.85
 99/03/16, 99/03/16,53.1
 99/03/17, 99/03/17,54.15
 99/03/18, 99/03/18,54.4
 99/03/19, 99/03/19,54.25
 99/03/22, 99/03/22,53.7
 99/03/23, 99/03/23,53.35
 99/03/24, 99/03/24,53.5
 99/03/25, 99/03/25,53.5
 99/03/26, 99/03/26,54
 99/03/29, 99/03/29,54.5
 99/03/30, 99/03/30,54.45
 99/03/31, 99/03/31,54.25
 99/04/01, 99/04/01,54.75
 99/04/02, 99/04/02,54.75
 99/04/06, 99/04/06,55.3
 99/04/07, 99/04/07,55.4
 99/04/08, 99/04/08,55.05
 99/04/09, 99/04/09,55.2
 99/04/12, 99/04/12,55.45
 99/04/13, 99/04/13,54.8
 99/04/14, 99/04/14,55.2
 99/04/15, 99/04/15,55.55
 99/04/16, 99/04/16,55.2
 99/04/19, 99/04/19,53.65
 99/04/20, 99/04/20,53.85
 99/04/21, 99/04/21,54.55
 99/04/22, 99/04/22,54.45
 99/04/23, 99/04/23,54.75
 99/04/26, 99/04/26,55.9
 99/04/27, 99/04/27,55.85
 99/04/28, 99/04/28,55.25
 99/04/29, 99/04/29,55
 99/04/30, 99/04/30,54.8
 99/05/03, 99/05/03,54.45
 99/05/04, 99/05/04,54.5
 99/05/05, 99/05/05,53
 99/05/06, 99/05/06,51.95
 99/05/07, 99/05/07,51.95
 99/05/10, 99/05/10,52.4
 99/05/11, 99/05/11,52.2
 99/05/12, 99/05/12,52.1
 99/05/13, 99/05/13,53.25
 99/05/14, 99/05/14,53.1
 99/05/17, 99/05/17,51.9
 99/05/18, 99/05/18,52
 99/05/19, 99/05/19,51.45
 99/05/20, 99/05/20,50.8
 99/05/21, 99/05/21,49.75
 99/05/24, 99/05/24,50.45
